Title,Company,Link,Review,Salary,Description
Front End Developer ( Angular ),HP,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C4JTuWysBZGWr3ScYyn1q3GP1Wt9Y6KOMkEf9pRAXJOefEmXwTDv0x7eeR7AMe8ZPs5UqlqJGkCUaRGI1w7I6wCRxsGEXPWsX9VZlRr49lEZSCgPSMChkXUZE-IWo3NpEJ50YOZlnTy4XyEKwixFeH8uBOF3YYCvUwzcq6HUyKqkjbS2pGICdttw19te1w-27ZMnmpxN6aCmnIJCp2JsakXUYzCkDgm1bu3KqzSBHan9HRtMpI8njPqobPD3_8hw6AVGu8lUvkIe_jXKhKKb5xAjyIM9tTLOIbe96YeqWy-yiolPA3HcV2G5bJTynat8L8SIGd2kT0Pb4R-KAH7NXfuBi0_5s4MBQDfx97rVJWpbmnEmS2jcUnGU-mQBWxFQ7bCMkH1gGZloYHB_sGiK7pX_Chqhf3cbsUYN_i0BCZxFbbMBWgmTQ80yT7wVJXl7yXnNAVBv0XJz8xulmA_lllf6avSQDCO84jGOW6j2huyjYnvzniQtxxqTUDR-ymAw4EidIeyatNNY6-3pxT2kKtdawpszpgKkOcnCjvgYhoaDXDXUUWa1oCmTMy9lls65QjrRSfXl3bUYI5GneyALh7PjXu9w4VAsa6I4aWkpBnQjZKU5w7k8Q2Hyb0Uhl24PYRo3Aw_QAD_z73vygjpQqZTx1sW9LU9LNyC0E7znpmkq-NwyBRbAlR1dZVFG7NWzBl4RItIJNB1wZzMQT42HU7TUtCsOVI8yr9uWZsLlBgAZm4xPHzi3tdJlrCmxTUgXDZvPTCvBKjpk3gJO2f92vvIdgHW7nLQ7jjPt9ASQb8GTz611vaqnjWCIVjFtLVE7itO573-pNCMmQXOtjAqbXL_OR6xkOlOpj56SfQLtiC3S2mAC7ynlREcpbXqwfEL6E_w8sdxqxS1buqDdVX4hX3y5iBDH0HsgGESFwgk0ci8Ul9Zdl60HqaNmg8LaZow00=&p=0&fvj=0&vjs=3,4.0,None,"At HP, talent is our criteria. Join us in reinventing the standard for diversity and inclusion. Bring your awesomeness, and just be you! HP is the world’s leading personal systems and printing company, we create technology that makes life better for everyone, everywhere. Our innovation springs from a team of individuals, each collaborating and contributing their own perspectives, knowledge, and experience to advance the way the world works and lives.
We are looking for visionaries, like you, who are ready to make a purposeful impact on the way the world works. At HP, the future is yours to create!
As a senior front-end developer, this position will be responsible for the development of the strategic customer support platform for our support organization. This is a hands-on development role. The developer will be part of a team that is building an enterprise support application.
As a senior developer, this position will work closely with the architect and other development resources, within provided guidelines, to deliver solutions. The position will perform coding, testing, implementation, and documentation of solutions, building and supporting various integrations with both external and internal systems.
Responsibilities:
To collaborate with multiple groups within the organization to investigate design approaches, prototype new solutions and evaluate technical feasibility.
Work in Agile Scrum and Test-driven development.
Education and Experience Required:
Bachelor's or Master's degree in Computer Science, Information Systems, or equivalent.
Typically 10-14 years of experience.
Experience in web development.
Experience in building resilient applications based on HTML, CSS, SCSS, Javascript, Angular 2+.
Exposure to Angular universal. Exposure to dynamic rendering engines like rendertron would be a plus.
Computer Science fundamentals in object-oriented design, data structures, algorithm design, problem solving, and complexity analysis.
Other Skills:
Using software applications design tools and languages.
Strong analytical and problem-solving skills.
Designing software applications running on multiple platform types.
Software applications testing methodology, including writing and execution of test plans, debugging, and testing scripts and tools.
Excellent written and verbal communication skills; mastery in English and local language.
Ability to effectively communicate product architectures, design proposals and negotiate options at management levels."
ECM Developer,NetApp,https://in.indeed.com/rc/clk?jk=2af5c0e9f9acb30a&fccid=77cec2f25f9bd7ed&vjs=3,4.1,None,"Job Summary

As a Programmer Analyst 3 you are part of a team of professionals who solution, design, develop, document, test, debug, deploy, and support IT Integration systems company-wide. You may specialize in a specific functional area such as Sales, Marketing, Customer Service, Finance, Human Resources, Supply Chain, Data Warehouse, IT in the backdrop of technology, or you may work with internal clients from multiple functions.

A strong Application and Business Process Integration technical knowledge base, strong ‘hands on’ Content Management experience, in managing Oracle Enterprise Content Management with Web Center Content and collaboration skills are required for this position. You will work closely with application teams within and across functions to understand Integration technical requirements, and delivery. You must possess strong communication and interpersonal skills.

Job Requirements

Excellent oral and written communication skills.
Excellent analytical, problem-solving, collaboration, negotiation and organizational skills.
Excellent knowledge on Oracle Web Center Content (WCC) and Oracle ECM.
Excellent Knowledge on UI technologies like SSXA, Angular JS or React JS
Extensive programming, development, solutioning, designing and debugging skills.
Good Knowledge and experience on Spring Framework, Web Services, SOA, REST API.
Good Knowledge of programming languages, and development tools like IDEs, Continuous Integration Tools, XML related parsers, Open Source productivity tools, etc
Strong aptitude for learning new technologies and understanding how to utilize them in a customer facing environment.
Working knowledge of Enterprise Applications development methodology and life cycle. Exposure to any Agile Development methodology is desirable.
Working knowledge of Microsoft Office Suite including Visio, Excel, Word, Power Point, or other similar tools.
Good understanding of: Relational database concepts, NoSQL Databases, Internet technologies, Unix/Linux Operating system functions, Application Security Concepts.
Ability to innovate existing processes, and suggest improvements
Education

A minimum of 6+ years of experience is required. 6 to 10 years of experience is preferred

A bachelor’s degree required; Computer Science, Information Technology, or related technical field is preferred

Demonstrated ability to have completed multiple, complex Integration technical assignments and attained results in earlier assignments"
"Developer 2, Microstrategy",Alliance Data,https://in.indeed.com/rc/clk?jk=12bdf50d683198f8&fccid=9edcedb2997876d2&vjs=3,3.6,None,"It's fun to work in a company where people truly BELIEVE in what they're doing !
Job Summary
The Developer, II builds, maintains and configures applications to ensure business needs are met. Most specialize in a specific application domain such as web, mobile, client-server, data, or mainframe development, reporting focused on supporting and reporting on specific business capabilities. Developers have in-depth knowledge of at least one programming language/reporting. The candidate is responsible for improving data quality within the firm and assisting the business development team in implementing a global, data-led strategy by creating various insight driven visualizations.
Job Description

Essential Job Functions
Development – Understands technical design, application code , and configuration parameters . C onverts technical design and specifications into functioning components through the development of application code and configuration and reporting . Creates and executes unit tests to ensure issues are proactively identified within the software development lifecycle and continuously improve applications and processes with a focus on quality, efficiency, and user experience. Utilize s the software development lifecycl e to implement tech nology solutions that crea te and enhance applications .
D ocumentation/Reporting- Analyzes code to identify causes of errors, defects and addresses/analyzes user concerns with respect to data. Remediates known errors within development and production support contexts .
Team Collaboration : Cultivate s relationships across roles and organizations to maximize collaboration, partnership, and efficiency. Addresses the root cause of data inconsistencies and recommending improvements. Ensure s that the business has access to complete and accurate client data to support decision-making . Wor k s collectively with multi location/Global teams.
Technical Knowledge : Intermediate / proficient in at least one programming language ( (e.g. COBOL, Java, R, Python, IDQ, Informatica, Archer, .NET, Salesforce, DB2, SQL Server, SQL, SAS , Micro Strategy, SSRS/SSIS , Tableau etc. ) and develop or maintain at least one application . Understands the business context of the application/requirement along with Project delivery / Domain expertise and Continuous learning.
Reports to: Lead or above
Working Conditions/ Physical Requirements: General office setting
Direct Reports: None
Minimum Requirements :
Bachelor's in Information Technology, Computer Science, Statistical or equivalent technical degree
Two to five years and Intermediate/ Proficiency in 1 or more programming languages/frameworks/products / reporting tools , with hands on development experience in projects . Working in projects adopting Iterative/Agile/Water fall methodologies and must be proficient with its practices.
Education Requirements:
Bachelor’s Degree (Required)
Certifications:
Work Experience
Two or more years
Skills
Application Development, Application Integrations, Application Maintenance, Application Security, Coding, Computer Programming, Data Analysis, Data Visualization, Defects Management, Design, Implementation, Incident Management, Information Security, Relational Database Management System (RDBMS), Release Management, Report Development, Requirements Analysis, Unit Testing, Version Control System, Web Services
About Alliance Data Card Services
Alliance Data Card Services provides market-leading private label, co-brand, general purpose and commercial credit card programs, digital payments and Comenity-branded financial services. Using the industry’s most comprehensive and predictive data set, advanced analytics, and broad-reaching capabilities, Alliance Data Card Services has been helping partners increase sales and provide greater value to their customers for more than 30 years. Follow Alliance Data Card Services on Twitter , Facebook , LinkedIn and Instagram .
About Bread ®
A division of Alliance Data, Bread is a leading digital payments company that works with merchants and partners to personalize payment options for their customers. Through its full-funnel recommendation engine, Bread empowers merchants to sell more, improve conversion and lift average-order-value. Follow Bread on Twitter , Facebook and LinkedIn .
Alliance Data Card Services and Bread are a proud part of the Alliance Data enterprise, a FORTUNE 500 and S&P MidCap 400 company headquartered in Columbus, Ohio with more than 8,000 associates worldwide.
Alliance Data offers a competitive salary, a comprehensive selection of benefit options including 401(k).
All job offers are contingent upon successful completion of credit and background checks.
Alliance Data is an Equal Opportunity Employer.
Alliance Data will provide accommodations to applicants needing accommodations to complete the application process.
Any applicant offered employment will be required to establish that they are legally authorized to work in the United States for Alliance Data.
Alliance Data participates in E-Verify.
Alliance Data will consider for employment qualified applicants with criminal and credit histories in a manner consistent with the requirements of all applicable laws, including the City of Los Angeles’ Fair Chance Initiative for Hiring Ordinance.
Job Family:
Information Technology
Job Type:
Regular"
Odoo software developer,Charis Software,https://in.indeed.com/rc/clk?jk=21da11b38fc05a58&fccid=287390a7e22466ce&vjs=3,None,None,"Overview:
We are looking for a skilled Odoo software developer to work alongside our business unit to develop software solutions to solve business problems and create efficient data systems and processes. This role will act as the go-to subject expert in the domains of web development and database management.



Responsibilities:
✔ Develop modules, apps, and interfaces using Python, Javascript and XML.
✔ Customize Odoo per customers requirements and specifications.
✔ Manage and prioritize customer requests and requirements.
✔ Write clear, concise and efficient code.
✔ Assist in the design, development, and deployment of new data structures
✔ Enter, review and quality control enterprise data.
✔ Manage and develop efficient data management processes.



Requirements:
✔ 4+ years professional experience with Python, SQL, and excel.
✔ 2+ years experience with Odoo.


Programming Skills in the Following: Python, OOP, API, PostgreSQL, HTML, CSS, JS/Jquery, XML, XPath, and QWeb.
✔ Bachelor’s degree or equivalent in Computer Science or related STEM field.



Demonstrated Experience:
✔ Working with Github or Bitbucket.
✔ Translating business problems into analytical frameworks.
✔ Establishing priorities, multi-tasking, work independently, and complete objectives in a fast-paced and demanding work environment.
✔ Preparing reports and analysis to clearly communicate complex subjects matter to senior management.



What We Are Looking For In Candidates:
✔ Intrinsically motivated.
✔ Positive and Collaborative Attitude.
✔ Ability to communicate clearly and concisely.



NOTE: Available Job Openings : 5


Please Contact Us at hr@charissoftware.in"
Backend Developer,SatSure Analytics India Private Limited,https://in.indeed.com/company/SatSure-Analytics-India-Private-Limited/jobs/Backend-Developer-fac54c791618d483?fccid=609a19f4582bef53&vjs=3,None,"₹6,00,000 a year","Responsibilities Include:
Collaborating with the front-end developers and other team members to establish objectives and design more functional, cohesive codes to enhance the user experience.
Coordinate with internal teams to understand user requirements and provide technical solutions.
Compile and analyze data, processes, and codes to troubleshoot problems and identify areas for improvement.
Taking lead on projects, as needed
Qualifications Required:
Experience: Fresher to 1 year of experience
B.E or B.Tech in Computer Science.
Fluency or understanding of specific languages - Python, Javascript will be an advantage.
Good hand on experience in design, implementation, troubleshooting and maintenance of Database like PostgreSQL.
Proficiency in versioning tools such as Git.
Good hands-on experience of design, implementation, troubleshooting and maintenance of APIs for mobile and web environment using Flask.
Knowledge of operating systems (Linux/Unix based) required
Knowledge of object-relational mapping (ORM).
Skilled in performance tuning, query plan / explain plan analysis, indexing, table partitioning
Excellent communication skills - both verbal and written
Excellent project and time management skills.
Good problem-solving and critical thinking skills.
Application Deadline: 7/3/2021
Expected Start Date: 1/4/2021
Job Type: Full-time
Salary: Up to ₹600,000.00 per year
Benefits:
Flexible schedule
Health insurance
Paid sick time
Paid time off
Work from home
Schedule:
Monday to Friday
Supplemental Pay:
Performance bonus
Experience:
Programming: 1 year (Preferred)
work: 1 year (Preferred)
Education:
Bachelor's (Required)
Work Remotely:
No
COVID-19 Precaution(s):
Remote interview process
Temperature screenings
Social distancing guidelines in place
Virtual meetings
Sanitising, disinfecting, or cleaning procedures in place"
Machine Learning Developer,Punchh,https://in.indeed.com/rc/clk?jk=8857a88a1284a1e1&fccid=e1b2607798446d2b&vjs=3,None,None,"Punchh is the leader in customer loyalty, offer management, and AI solutions for offline and omni-channel merchants including restaurants, convenience stores, and retailers. Punchh brings the power of online to physical brands by delivering omni-channel experiences and personalization across the entire customer journey-from acquisition through loyalty and growth-to drive same store sales and customer lifetime value. Punchh uses best-in-class integrations to POS and other in-store systems such as WiFi, to deliver real-time SKU-level transaction visibility and offer provisioning for physical stores.
Punchh is growing exponentially, serves 200+ brands that encompass 91K+ stores globally. Punchh's customers include the top convenience stores such as Casey's General Stores, 25+ of the top 100 restaurant brands such as Papa John's, Little Caesars, Denny's, Focus Brands (5 of 7 brands), and Yum! Brands (KFC, Pizza Hut, and Taco Bell), and retailers. For a multi-billion $ brand with 6K+ stores, Punchh drove a 3% lift in same-store sales within the first year. Punchh is powering loyalty programs for 135+ million consumers.
Punchh has raised $70 million from premier Silicon Valley investors including Sapphire Ventures and Adam Street Partners, has a seasoned leadership team with extensive experience in digital, marketing, CRM, and AI technologies as well as deep restaurant and retail industry expertise.
About the role
Punchh is seeking a full-time Machine Learning Developer who will work on Punchh's AI product line. You will draw upon your machine learning, software development, and deployment skills and contribute to key product features such as customer loyalty campaign recommendation and personalization. You will experience first-hand how our Machine Learning team transforms ideas into AI products for our customers.
What You'll Do
Directly participate in: Develop, integrate, manage, and monitor machine learning micro-services on AWS for recommender system, personalization, natural language processing, analytics dashboard, to name a few.
Develop a suite of automated tests for machine learning micro-services.
Design and manage CI/CD pipelines.
Lead the team in developing practices for robust and efficient deployment of models.
Develop an automated system for Punchh's real-time data pipeline and batch processing.
Promote AWS best practices within the team to improve quality, reduce risk, increase security, promote efficiency, and minimize costs.
What You'll Need
3+ years of experience in working on Machine Learning Projects
A bachelor's, master's, or doctorate degree in Computer Engineering or Computer Science
A solid understanding of statistical modeling/machine learning/data mining
Proficiency in Python and AWS machine learning packages
Experience with Python web framework, e.g. Flask, Django or FastAPI
Experience with databases (Elasticsearch, SQL, NoSQL, Hive, …)
Experience in a cloud environment for software development and deployment (AWS preferred)
Excellent communication skills and ability to articulate a complex concept with thoughtful, actionable recommendations
Bonus Points if You Have
Familiarity with distributed data processing tools like Spark, Snowflake.
Familiarity with more than one cloud computing environment (AWS, Azure, GCP).
Familiarity with retail personalization or digital marketing
Punchh is proud to provide equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. If you'd like more information about your EEO rights as an applicant, please click here.
We also provide reasonable accommodations to individuals with disabilities in accordance with applicable laws.
Notice to recruiters and placement agencies: If you are a recruiter or placement agency, please do not submit résumés to any person or email address at Punchh prior to having a signed agreement with Human Resources. Punchh is not liable for and will not pay placement fees for candidates submitted by any agency other than its approved recruitment partners. Also, any résumés sent to us without an agreement in place will be considered your company's gift to Punchh and may be forwarded to our Talent Acquisition team."
Java/J2EE Developer,Sminetech Solutions Pvt Ltd,https://in.indeed.com/rc/clk?cmp=Sminetech-Solutions-Pvt-Ltd&ti=Java%2Fj2ee+Developer&jk=847f6722371c1edc&fccid=8078b241cf56f8d4&vjs=3,None,"₹3,50,000 - ₹5,00,000 a year","Your Responsibilities:
Write maintainable/scalable/efficient code.
Design and architect technical solutions for the business problems of a very large e-commerce portal.
Work in cross-functional team, collaborating with peers during entire SDLC.
Follow coding standards, unit-testing, code reviews etc.
Follow release cycles and commitment to deadlines.
Desired Skills and Experience:
Experience level of 3 to 5 years of experience in very large scale applications.
Strong problem solving skills, data structures and algorithms.
Experience with distributed systems handling large amount of data.
Excellent coding skills in Java/J2EE.
Very good understanding of Web Technologies.
Very good understanding of any RDBMS and/or messaging.
B Tech/BE in Computer Science or equivalent from a reputed college.
Notice Period - Immediate to 15 days
Job Type: Full-time
Salary: ₹350,000.00 - ₹500,000.00 per year
Schedule:
Day shift
Experience:
Java/J2EE: 3 years (Required)
Web Technologies: 3 years (Required)
Licence:
Java SE 7 Programmer (Preferred)
Speak with the employer
+91 9004712627"
Senior JavaScript Developer,Dassault Systèmes,https://in.indeed.com/rc/clk?jk=68d4662f041c377b&fccid=29d37d43c382c8fe&vjs=3,4.1,None,"Imagine New Horizons
SIMULIA R&D is looking for a candidate with excellent software development skills to join a team developing a best in class application for Cloud application and Grid infrastructure.
This position offers a unique opportunity to be part of a global development team, participate in requirements analysis, software design, implementation of software solutions and services for data management and visualization.
Do you have dreams? Do you enjoy a challenge? Here at Dassault Systèmes, we empower people with passion to change the world.
Shape your career with3DS! #WeAre3DS#3DSINDIALAB
What will your job be?
This senior software development engineer will be an integral part of the SIMULIA R&D Cloud Team. He/she will contribute to delivering best-in-class simulation applications and technologies for simulating Product, Nature and Life in the 3DEXPERIENCE Platform and on the Cloud. He/she will have the opportunity to experience the full software development lifecycle (for example, product define, user experience design, software development, software testing and qualification as well as product deployment), while remaining focused on a certain aspect of this cycle to gain in-depth knowledge.
The Challenges ahead
Work with manager and colleagues to design and develop applications for high performance computing on grid
Design and implement core services used by our Grid cloud solutions
Your key success factors
Applicants must have a Bachelor's degree in Engineering or Computer Science with a minimum of 8 years of experience or a Master's degree with at least 6 years of experience in developing web applications (JavaScript, Type Script, Java) with the ability to use formal and current development methodologies
Hands on experience with cloud infrastructure (AWS, Azure or others)
Experience writing code fixes and tools to solve problems in one or more of the following languages: JavaScript, C++, Java, or Python.
Experience with linear coding and use language features when necessary (e.g., data structures, branching, function-calls, and conditionals).
Knowledge and/or hands-on experience with AWS infrastructure services highly desired.
Develop and deploy cloud applications using CI/CD and automation technologies
Strong experience with Web services
Previous software development work experience (i.e. research assistant, teaching assistant, personal projects, etc.)"
JAVA Backend Developer_Chennai (Experience- 4 to 10years),Infoway Group,https://in.indeed.com/rc/clk?jk=2f8b39d024bd085d&fccid=c4ed94acf4eb9004&vjs=3,None,None,"Company Description

Since 2009, Info Way Solutions has earned a reputation as a full-service staffing firm that excels in a fast-paced marketplace. We have placed highly skilled professionals on a temporary, temporary-to-hire and direct-hire basis in the fields of accounting and finance, IT technology,office administration, marketing and design.

Info Way Solutions is dedicated to providing you quality professionals with well-matched skills to your unique hiring requirements and workplace environment. We collaborate with customers to consistently and cost-effectively plan, execute and deliver high-quality services and results.Our consultants are seasoned professionals who build long-term,trusted relationships that bring about a high level of energy, integrity, experience and value to our client’s work.

Our superior client-consultant relationships and in-depth insight of services have resulted in significant repeated business with clients. In addition, we are partners with best-in-class technology vendors that enable us to best determine the most appropriate hardware, software and services to cater to any of our client’s business needs. We have often collaborated with them to make optimal use of today’s technology while also planning for the future.

More than 50 customers – including mid-market leaders and many of the Fortune 500 Companies – rely on our expertise to leverage their investments.

Job Description

BTech in Computer Science, EEE, ECE / MCA.
Core Java, Oops, Data Structure, Algorithms.
Hands on coding with Spring and Hibernate.
Good Knowledge in Web Service, Restful API.
Microservices hands on programing knowledge with Spring Boot.
Good communication skill, proactive, willing to learn and work independently.
Optional / Nice to Have Requirements
Product Development Exp in Fin Tech and Payment Engineering Domain.
Strong analytical skills and unit testing skills.

Qualifications

Graduate (Computer Or IT), MCA"
Technical Specialist,NI Network Infrastructure,https://in.indeed.com/rc/clk?jk=90f4fc36c265dd44&fccid=484b97f92f5d004d&vjs=3,None,None,"About Nokia

We create the critical networks and technologies to bring together the world’s intelligence, across businesses, cities, supply chains and societies. With our commitment to innovation and technology leadership, driven by the award-winning Nokia Bell Labs, we deliver networks at the limits of science across mobile, infrastructure, cloud, and enabling technologies. Adhering to the highest standards of integrity and security, we help build the capabilities we need for a more productive, sustainable and inclusive world.

About Fixed Networks

Our Fixed Networks (FN) business group provides an array of “gigabit to the home” solutions to deliver data access to our communication service provider (CSP) customers. This includes Fiber-to-the-home (FTTH) as well as 5G fixed wireless access (FWA), xDSL and cable upgrades. We build solutions that don’t stop at the home but also bring that gigabit experience into the home using our meshed Wi-Fi solution.

Job Description

We are looking for a Strong DevOps Engineer as part of our Fixed Network - BroadBand Networks team to setup, monitor, administer and maintain our DevOps related Technology Infrastructure and tools.
These include the management of different open-source tools related to continuous integration and continuous testing, logging and monitoring platforms, support for internal operations portals, resolving technical issues, managing cloud infrastructure.
If you are looking for an opportunity to solve deep technical problems and build innovative solutions in a fast-paced environment by working with extremely smart, passionate software developers, this might be the role for you.
Primary responsibilities include troubleshooting, diagnosing and fixing production software issues, developing monitoring solutions, performing software maintenance and configuration, implementing the fix for internally developed code (Perl, Shell, and JAVA), tracking and resolving technical challenges.
You should be detail oriented, have good verbal and written communication skills, strong organizational skills, able to juggle multiple tasks at once, able to work independently and can maintain professionalism under pressure, mentoring junior and mid-level engineers. You are able to identify problems before they happen and implement solutions that detect and prevent outages. You have ability to accurately prioritize projects, make sound judgments, work to improve the customer experience, and get the right things done.

Job Responsibilities & Competencies

Must have

Experience with automation / configuration management using either Puppet, Ansible, etc.,
Experience in Cloud and Virtualization Platforms viz., OpenStack, AWS, KVM.
Strong scripting knowledge in either Perl / Python / Shell scripting.
Working knowledge of Java / J2EE
Knowledge of best practices and IT operations, always-up, always-available services.
Exposure to DevOps and Agile practices.
Working knowledge of Docker Containers, Kubernetes, helm charts.
Familiarity with JAVA build tools viz., Maven, ANT.
Familiarity with Jenkins pipeline.
Familiarity with Source control management systems viz., Git, SVN.
3 to 8 years of software engineering background.

Desirable

Background in Linux / Unix Administration.
Familiarity with Web technologies (PHP/HTML/AngularJS)
Familiarity with automation frameworks viz., Robot, Jasmine.
Passionate about great technologies, especially open source.

Working with us, you will have a positive impact on people’s lives and help to overcome some of the world’s most pressing challenges. We act inclusively and respect the uniqueness of people. At Nokia, employment decisions are made regardless of race, color, national or ethnic origin, religion, gender, sexual orientation, gender identity or expression, age, marital status, disability, protected veteran status or other characteristics protected by law. Nokia culture welcomes people as their true selves."
